,Sex,DVRT,Educational_level,Leaving_Certificate,Prestige_score,Type_school,Count Indeks,Indeks
0,1,113,3,0,28.0,1,65.58139534883722,B
1,1,101,1,0,28.0,3,60.0,C
2,1,110,8,1,69.0,1,83.25581395348837,A
3,1,121,5,0,57.0,1,82.7906976744186,A
4,1,82,4,0,18.0,2,46.51162790697674,C
5,1,85,4,0,28.0,2,52.55813953488372,C
6,1,84,1,0,18.0,3,47.44186046511628,C
7,1,98,2,0,43.0,2,65.58139534883722,B
8,1,92,4,0,33.0,2,58.139534883720934,C
9,1,90,1,0,18.0,3,50.23255813953489,C
10,1,88,4,0,28.0,2,53.95348837209303,C
11,1,84,4,0,18.0,2,47.44186046511628,C
12,1,114,10,1,18.0,1,61.395348837209305,B
13,1,70,4,0,57.0,2,59.06976744186046,C
14,1,109,8,1,40.0,1,69.30232558139535,B
15,1,83,4,0,43.0,2,58.6046511627907,C
16,1,108,4,0,69.0,2,82.32558139534883,A
17,1,95,3,0,43.0,1,64.18604651162791,B
18,1,90,4,0,28.0,2,54.88372093023256,C
19,1,107,8,1,28.0,1,62.7906976744186,B
20,1,86,1,0,18.0,3,48.372093023255815,C
21,1,70,2,0,43.0,2,52.55813953488372,C
22,1,114,8,1,18.0,1,61.395348837209305,B
23,1,117,8,1,42.0,1,73.95348837209302,B
24,1,112,8,1,43.0,1,72.09302325581395,B
25,1,88,10,1,18.0,1,49.30232558139535,C
26,1,106,10,1,42.0,1,68.83720930232559,B
27,1,125,10,1,28.0,1,71.16279069767441,B
28,1,94,8,1,18.0,1,52.093023255813954,C
29,1,103,5,0,18.0,1,56.27906976744186,C
30,1,123,8,1,46.0,1,78.6046511627907,B
31,1,100,4,0,35.0,2,62.7906976744186,B
32,1,90,3,0,27.0,1,54.418604651162795,C
33,1,70,4,0,51.0,2,56.27906976744186,C
34,1,90,3,0,46.0,1,63.25581395348837,B
35,1,99,3,0,18.0,1,54.418604651162795,C
36,1,123,3,0,43.0,1,77.20930232558139,B
37,1,127,8,1,43.0,1,79.06976744186046,B
38,1,124,8,1,62.0,1,86.51162790697674,A
39,1,110,6,0,27.0,2,63.72093023255814,B
40,1,94,8,1,43.0,1,63.72093023255814,B
41,1,112,8,1,40.0,1,70.69767441860465,B
42,1,123,8,1,35.0,1,73.48837209302326,B
43,1,70,3,0,18.0,1,40.93023255813954,C
44,1,102,4,0,43.0,2,67.44186046511628,B
45,1,126,10,1,27.0,1,71.16279069767441,B
46,1,121,8,1,40.0,1,74.88372093023256,B
47,1,100,2,0,43.0,2,66.51162790697674,B
48,1,85,2,0,31.0,2,53.95348837209303,C
49,1,86,4,0,31.0,2,54.418604651162795,C
50,1,101,2,0,28.0,2,60.0,C
51,1,91,5,0,40.0,1,60.93023255813953,B
52,1,113,8,1,43.0,1,72.55813953488372,B
53,1,103,4,0,33.0,2,63.25581395348837,B
54,1,117,7,0,18.0,1,62.7906976744186,B
55,1,72,2,0,43.0,2,53.48837209302325,C
56,1,70,1,0,18.0,3,40.93023255813954,C
57,1,112,3,0,18.0,1,60.46511627906976,B
58,1,65,1,0,18.0,3,38.604651162790695,D
59,1,97,5,0,35.0,1,61.395348837209305,B
60,1,100,4,0,43.0,2,66.51162790697674,B
61,1,99,4,0,18.0,2,54.418604651162795,C
62,1,91,2,0,28.0,2,55.348837209302324,C
63,1,107,8,0,43.0,1,69.76744186046511,B
64,1,94,2,0,43.0,2,63.72093023255814,B
65,1,104,5,0,36.0,1,65.11627906976744,B
66,1,117,8,1,18.0,1,62.7906976744186,B
67,1,104,5,0,43.0,1,68.37209302325581,B
68,1,115,8,0,66.0,1,84.18604651162791,A
69,0,123,7,0,35.0,1,73.48837209302326,B
70,0,103,5,0,43.0,1,67.90697674418604,B
71,0,109,4,0,43.0,2,70.69767441860465,B
72,0,99,5,0,61.0,1,74.4186046511628,B
73,0,100,10,1,47.0,1,68.37209302325581,B
74,0,100,5,0,62.0,1,75.34883720930232,B
75,0,107,8,1,40.0,1,68.37209302325581,B
76,0,70,1,0,18.0,3,40.93023255813954,C
77,0,91,5,0,30.0,1,56.27906976744186,C
78,0,117,8,1,43.0,1,74.4186046511628,B
79,0,115,8,1,57.0,1,80.0,B
80,0,93,5,0,43.0,1,63.25581395348837,B
81,0,103,8,1,30.0,1,61.86046511627907,B
82,0,99,5,0,57.0,1,72.55813953488372,B
83,0,115,3,0,36.0,1,70.23255813953489,B
84,0,104,8,1,38.0,1,66.04651162790698,B
85,0,116,5,0,47.0,1,75.81395348837209,B
86,0,94,3,0,51.0,1,67.44186046511628,B
87,0,114,10,1,43.0,1,73.0232558139535,B
88,0,113,5,0,18.0,1,60.93023255813953,B
89,0,106,2,0,18.0,2,57.674418604651166,C
90,0,119,8,1,57.0,1,81.86046511627907,A
91,0,114,8,1,48.0,1,75.34883720930232,B
92,0,108,8,1,27.0,1,62.7906976744186,B
93,0,97,3,0,46.0,1,66.51162790697674,B
94,0,83,1,0,28.0,3,51.627906976744185,C
95,0,103,5,0,43.0,1,67.90697674418604,B
96,0,104,5,0,64.0,1,78.13953488372093,B
97,0,97,5,0,18.0,1,53.48837209302325,C
98,0,109,5,0,69.0,1,82.7906976744186,A
99,0,90,5,0,33.0,1,57.20930232558139,C
100,0,114,4,0,28.0,2,66.04651162790698,B
101,0,99,5,0,38.0,1,63.72093023255814,B
102,0,94,8,1,35.0,1,60.0,C
103,0,86,5,0,28.0,1,53.02325581395348,C
104,0,93,8,1,35.0,1,59.53488372093023,C
105,0,91,4,0,28.0,2,55.348837209302324,C
106,0,109,7,0,40.0,1,69.30232558139535,B
107,0,91,5,0,28.0,1,55.348837209302324,C
108,0,106,4,0,28.0,2,62.32558139534884,B
109,0,109,8,1,43.0,1,70.69767441860465,B
110,0,111,5,0,51.0,1,75.34883720930232,B
111,0,111,5,0,18.0,1,60.0,C
112,0,106,4,0,18.0,2,57.674418604651166,C
113,0,86,4,0,40.0,2,58.6046511627907,C
114,0,107,3,0,18.0,1,58.139534883720934,C
115,0,103,1,0,28.0,3,60.93023255813953,B
116,0,100,3,0,18.0,1,54.88372093023256,C
117,0,101,5,0,38.0,1,64.65116279069767,B
118,0,97,2,0,36.0,2,61.86046511627907,B
119,0,105,4,0,46.0,2,70.23255813953489,B
120,0,98,2,0,37.0,2,62.7906976744186,B
121,0,111,5,0,18.0,1,60.0,C
122,0,88,3,0,57.0,1,67.44186046511628,B
123,0,123,5,0,28.0,1,70.23255813953489,B
124,0,98,5,0,33.0,1,60.93023255813953,B
125,0,94,4,0,43.0,2,63.72093023255814,B
126,0,109,5,0,28.0,1,63.72093023255814,B
127,0,70,1,0,18.0,3,40.93023255813954,C
128,0,75,2,0,33.0,2,50.23255813953489,C
129,0,72,8,1,18.0,1,41.86046511627907,C
130,0,70,2,0,18.0,2,40.93023255813954,C
131,0,70,1,0,18.0,3,40.93023255813954,C
132,0,70,1,0,18.0,3,40.93023255813954,C
133,0,70,1,0,18.0,3,40.93023255813954,C
134,0,85,1,0,18.0,3,47.906976744186046,C
135,0,108,4,0,28.0,2,63.25581395348837,B
136,0,75,2,0,28.0,2,47.906976744186046,C
137,0,104,8,1,18.0,1,56.74418604651162,C
138,0,103,5,0,38.0,1,65.58139534883722,B
139,0,122,10,1,38.0,1,74.4186046511628,B
140,0,110,8,1,40.0,1,69.76744186046511,B
141,1,107,8,1,40.0,1,68.37209302325581,B
142,1,104,10,1,75.0,1,83.25581395348837,A
143,1,70,5,0,58.0,1,59.53488372093023,C
144,1,116,8,0,18.0,1,62.32558139534884,B
145,1,103,1,0,43.0,3,67.90697674418604,B
146,1,95,8,1,43.0,1,64.18604651162791,B
147,1,113,4,0,18.0,2,60.93023255813953,B
148,1,126,2,0,61.0,2,86.9767441860465,A
149,1,118,8,1,71.0,1,87.90697674418605,A
150,1,115,8,1,27.0,1,66.04651162790698,B
151,1,89,2,0,43.0,2,61.395348837209305,B
152,1,113,10,1,61.0,1,80.93023255813954,A
153,1,85,8,1,37.0,1,56.74418604651162,C
154,1,95,8,1,43.0,1,64.18604651162791,B
155,1,109,10,1,57.0,1,77.20930232558139,B
156,1,111,8,1,69.0,1,83.72093023255815,A
157,1,116,8,1,75.0,1,88.83720930232558,A
158,1,90,6,0,43.0,2,61.86046511627907,B
159,1,90,2,0,28.0,2,54.88372093023256,C
160,1,82,1,0,31.0,3,52.55813953488372,C
161,1,84,8,0,33.0,1,54.418604651162795,C
162,1,117,6,0,28.0,2,67.44186046511628,B
163,1,71,6,0,40.0,2,51.627906976744185,C
164,1,104,9,1,69.0,1,80.46511627906978,A
165,1,86,2,0,18.0,2,48.372093023255815,C
166,1,79,4,0,46.0,2,58.139534883720934,C
167,1,80,4,0,65.0,2,67.44186046511628,B
168,1,99,8,1,18.0,1,54.418604651162795,C
169,1,86,2,0,61.0,2,68.37209302325581,B
170,1,116,10,1,18.0,1,62.32558139534884,B
171,1,124,8,1,65.0,1,87.90697674418605,A
172,1,98,1,0,28.0,3,58.6046511627907,C
173,1,101,5,0,35.0,1,63.25581395348837,B
174,1,87,1,0,43.0,3,60.46511627906976,B
175,1,97,10,1,40.0,1,63.72093023255814,B
176,1,120,10,1,43.0,1,75.81395348837209,B
177,1,103,8,1,43.0,1,67.90697674418604,B
178,1,107,8,1,40.0,1,68.37209302325581,B
179,1,105,7,0,57.0,1,75.34883720930232,B
180,1,99,8,1,37.0,2,63.25581395348837,B
181,1,103,8,1,28.0,2,60.93023255813953,B
182,1,101,3,0,28.0,1,60.0,C
183,0,102,5,0,18.0,1,55.81395348837209,C
184,0,105,8,1,18.0,2,57.20930232558139,C
185,0,70,2,0,18.0,2,40.93023255813954,C
186,0,101,10,1,43.0,1,66.97674418604652,B
187,0,90,8,1,42.0,2,61.395348837209305,B
188,0,85,8,1,43.0,1,59.53488372093023,C
189,0,104,8,1,18.0,1,56.74418604651162,C
190,0,87,8,1,18.0,2,48.837209302325576,C
191,0,85,8,1,37.0,1,56.74418604651162,C
192,0,102,4,0,42.0,2,66.97674418604652,B
193,0,94,5,0,37.0,1,60.93023255813953,B
194,0,93,8,1,37.0,1,60.46511627906976,B
195,0,99,10,1,37.0,1,63.25581395348837,B
196,0,103,8,1,38.0,1,65.58139534883722,B
197,0,89,5,0,18.0,1,49.76744186046512,C
198,0,77,1,0,18.0,3,44.18604651162791,C
199,0,92,4,0,37.0,2,60.0,C
200,0,109,8,1,43.0,1,70.69767441860465,B
201,0,91,5,0,18.0,1,50.697674418604656,C
202,0,109,8,1,58.0,1,77.67441860465117,B
203,0,105,3,0,57.0,1,75.34883720930232,B
204,0,105,8,1,18.0,1,57.20930232558139,C
205,0,90,5,0,69.0,1,73.95348837209302,B
206,0,99,10,1,69.0,1,78.13953488372093,B
207,0,110,8,1,37.0,1,68.37209302325581,B
208,0,88,8,1,37.0,1,58.139534883720934,C
209,0,101,8,1,66.0,1,77.67441860465117,B
210,0,91,2,0,18.0,2,50.697674418604656,C
211,0,78,8,1,18.0,1,44.651162790697676,C
212,0,118,10,1,65.0,1,85.11627906976744,A
213,0,100,1,0,28.0,3,59.53488372093023,C
214,0,100,4,0,18.0,2,54.88372093023256,C
215,0,85,8,1,57.0,1,66.04651162790698,B
216,0,106,10,1,61.0,1,77.67441860465117,B
217,0,70,2,0,18.0,2,40.93023255813954,C
218,0,97,2,0,18.0,2,53.48837209302325,C
219,0,86,1,0,18.0,3,48.372093023255815,C
220,0,92,2,0,18.0,2,51.162790697674424,C
221,0,102,1,0,38.0,3,65.11627906976744,B
222,0,86,2,0,18.0,2,48.372093023255815,C
223,0,78,8,1,46.0,1,57.674418604651166,C
224,0,100,2,0,18.0,2,54.88372093023256,C
225,1,104,8,1,61.0,1,76.74418604651163,B
226,1,70,5,0,31.0,1,46.97674418604651,C
227,1,107,8,1,75.0,1,84.65116279069768,A
228,1,114,8,1,37.0,1,70.23255813953489,B
229,1,103,2,0,31.0,2,62.32558139534884,B
230,1,115,5,0,37.0,1,70.69767441860465,B
231,1,106,8,1,57.0,1,75.81395348837209,B
232,1,114,8,1,61.0,1,81.3953488372093,A
233,1,90,8,1,58.0,1,68.83720930232559,B
234,1,103,8,1,37.0,1,65.11627906976744,B
235,1,92,3,0,58.0,1,69.76744186046511,B
236,1,113,10,1,37.0,1,69.76744186046511,B
237,1,92,5,0,37.0,1,60.0,C
238,1,108,10,1,37.0,1,67.44186046511628,B
239,1,96,3,0,18.0,1,53.02325581395348,C
240,1,70,3,0,18.0,1,40.93023255813954,C
241,1,112,8,1,75.0,1,86.9767441860465,A
242,1,106,8,1,28.0,1,62.32558139534884,B
243,1,91,8,1,37.0,1,59.53488372093023,C
244,1,96,4,0,18.0,2,53.02325581395348,C
245,1,70,1,0,18.0,3,40.93023255813954,C
246,1,109,8,1,57.0,1,77.20930232558139,B
247,1,74,4,0,37.0,2,51.627906976744185,C
248,1,99,3,0,43.0,1,66.04651162790698,B
249,1,107,8,1,37.0,1,66.97674418604652,B
250,1,90,5,0,37.0,1,59.06976744186046,C
251,1,78,4,0,31.0,2,50.697674418604656,C
252,1,70,1,0,37.0,3,49.76744186046512,C
253,1,88,2,0,58.0,2,67.90697674418604,B
254,1,93,4,0,18.0,2,51.627906976744185,C
255,1,88,2,0,43.0,2,60.93023255813953,B
256,1,108,8,1,58.0,1,77.20930232558139,B
257,1,101,10,1,57.0,1,73.48837209302326,B
258,1,98,2,0,28.0,2,58.6046511627907,C
259,1,103,8,1,35.0,1,64.18604651162791,B
260,1,73,8,1,37.0,1,51.162790697674424,C
261,1,109,8,0,43.0,1,70.69767441860465,B
262,1,102,4,0,37.0,2,64.65116279069767,B
263,1,93,2,0,37.0,2,60.46511627906976,B
264,1,93,2,0,18.0,2,51.627906976744185,C
265,1,101,8,1,61.0,1,75.34883720930232,B
266,1,100,6,0,37.0,2,63.72093023255814,B
267,1,70,1,0,31.0,3,46.97674418604651,C
268,1,102,2,0,18.0,2,55.81395348837209,C
269,1,113,4,0,28.0,2,65.58139534883722,B
270,1,91,5,0,37.0,1,59.53488372093023,C
271,1,109,5,0,37.0,1,67.90697674418604,B
272,1,80,1,0,58.0,3,64.18604651162791,B
273,1,118,8,1,18.0,2,63.25581395348837,B
274,1,70,1,0,58.0,3,59.53488372093023,C
275,1,88,4,0,37.0,2,58.139534883720934,C
276,1,72,4,0,37.0,2,50.697674418604656,C
277,1,81,8,1,58.0,1,64.65116279069767,B
278,1,70,2,0,37.0,2,49.76744186046512,C
279,1,97,2,0,18.0,2,53.48837209302325,C
280,1,87,8,1,40.0,1,59.06976744186046,C
281,1,99,4,0,18.0,2,54.418604651162795,C
282,1,81,1,0,18.0,3,46.04651162790698,C
283,1,84,4,0,18.0,2,47.44186046511628,C
284,1,90,2,0,58.0,2,68.83720930232559,B
285,1,95,8,1,37.0,1,61.395348837209305,B
286,1,84,2,0,61.0,2,67.44186046511628,B
287,1,104,6,0,40.0,2,66.97674418604652,B
288,1,105,2,0,31.0,2,63.25581395348837,B
289,1,107,3,0,58.0,1,76.74418604651163,B
290,1,84,2,0,40.0,2,57.674418604651166,C
291,1,108,4,0,18.0,2,58.6046511627907,C
292,1,70,6,0,18.0,2,40.93023255813954,C
293,1,99,10,1,37.0,1,63.25581395348837,B
294,1,87,8,1,18.0,1,48.837209302325576,C
295,1,81,1,0,18.0,3,46.04651162790698,C
296,1,103,8,1,43.0,1,67.90697674418604,B
297,1,114,8,1,37.0,1,70.23255813953489,B
298,1,101,8,1,35.0,1,63.25581395348837,B
299,1,70,1,0,58.0,3,59.53488372093023,C
300,1,70,4,0,18.0,2,40.93023255813954,C
301,1,109,8,1,18.0,1,59.06976744186046,C
302,1,78,8,1,58.0,2,63.25581395348837,B
303,1,70,1,0,37.0,3,49.76744186046512,C
304,1,70,4,0,58.0,2,59.53488372093023,C
305,1,104,8,1,37.0,1,65.58139534883722,B
306,1,86,1,0,18.0,3,48.372093023255815,C
307,1,99,4,0,35.0,2,62.32558139534884,B
308,1,98,4,0,58.0,2,72.55813953488372,B
309,1,118,4,0,18.0,2,63.25581395348837,B
310,1,76,2,0,18.0,2,43.72093023255814,C
311,1,102,3,0,18.0,1,55.81395348837209,C
312,1,106,4,0,37.0,2,66.51162790697674,B
313,1,108,4,0,35.0,2,66.51162790697674,B
314,1,110,6,0,37.0,2,68.37209302325581,B
315,1,110,4,0,37.0,2,68.37209302325581,B
316,1,89,6,0,28.0,2,54.418604651162795,C
317,1,83,4,0,18.0,2,46.97674418604651,C
318,1,96,5,0,37.0,1,61.86046511627907,B
319,1,113,10,1,65.0,1,82.7906976744186,A
320,1,95,8,1,37.0,1,61.395348837209305,B
321,1,108,4,0,38.0,2,67.90697674418604,B
322,1,96,5,0,28.0,1,57.674418604651166,C
323,1,79,7,0,61.0,1,65.11627906976744,B
324,0,99,5,0,37.0,1,63.25581395348837,B
325,0,107,10,1,37.0,1,66.97674418604652,B
326,0,94,2,0,37.0,2,60.93023255813953,B
327,0,88,5,0,37.0,1,58.139534883720934,C
328,0,82,5,0,57.0,1,64.65116279069767,B
329,0,100,8,1,57.0,1,73.0232558139535,B
330,0,102,8,1,40.0,1,66.04651162790698,B
331,0,111,8,1,58.0,1,78.6046511627907,B
332,0,111,8,1,57.0,1,78.13953488372093,B
333,0,94,1,0,58.0,3,70.69767441860465,B
334,0,94,8,1,18.0,1,52.093023255813954,C
335,0,93,4,0,18.0,2,51.627906976744185,C
336,0,90,8,1,58.0,1,68.83720930232559,B
337,0,84,5,0,18.0,1,47.44186046511628,C
338,0,100,4,0,27.0,2,59.06976744186046,C
339,0,106,8,1,51.0,1,73.0232558139535,B
340,0,114,9,1,57.0,1,79.53488372093022,B
341,0,101,8,1,18.0,1,55.348837209302324,C
342,0,115,8,1,43.0,1,73.48837209302326,B
343,0,108,8,1,58.0,1,77.20930232558139,B
344,0,117,10,1,51.0,1,78.13953488372093,B
345,0,110,5,0,28.0,1,64.18604651162791,B
346,0,93,8,1,43.0,1,63.25581395348837,B
347,0,114,10,1,18.0,1,61.395348837209305,B
348,0,72,1,0,18.0,3,41.86046511627907,C
349,0,116,8,1,18.0,1,62.32558139534884,B
350,0,117,10,1,37.0,1,71.62790697674419,B
351,0,102,8,1,40.0,1,66.04651162790698,B
352,0,84,8,1,18.0,1,47.44186046511628,C
353,0,94,3,0,28.0,1,56.74418604651162,C
354,0,81,8,1,37.0,1,54.88372093023256,C
355,0,101,5,0,18.0,1,55.348837209302324,C
356,0,91,8,1,37.0,1,59.53488372093023,C
357,0,93,8,1,38.0,1,60.93023255813953,B
358,0,116,8,1,18.0,1,62.32558139534884,B
359,0,90,8,1,57.0,1,68.37209302325581,B
360,0,115,8,1,35.0,1,69.76744186046511,B
361,0,89,1,0,18.0,3,49.76744186046512,C
362,0,108,10,1,37.0,1,67.44186046511628,B
363,0,100,8,1,18.0,1,54.88372093023256,C
364,0,86,4,0,37.0,2,57.20930232558139,C
365,0,84,5,0,37.0,1,56.27906976744186,C
366,0,90,4,0,37.0,2,59.06976744186046,C
367,0,103,10,1,28.0,1,60.93023255813953,B
368,0,100,8,1,57.0,1,73.0232558139535,B
369,0,102,8,1,43.0,1,67.44186046511628,B
370,0,82,5,0,35.0,1,54.418604651162795,C
371,0,83,5,0,37.0,1,55.81395348837209,C
372,0,113,8,1,37.0,1,69.76744186046511,B
373,0,117,10,1,57.0,1,80.93023255813954,A
374,0,111,8,1,18.0,1,60.0,C
375,0,100,8,1,37.0,1,63.72093023255814,B
376,0,91,10,1,58.0,1,69.30232558139535,B
377,0,97,8,1,58.0,1,72.09302325581395,B
378,0,109,9,1,43.0,1,70.69767441860465,B
379,0,100,3,0,37.0,1,63.72093023255814,B
380,0,98,5,0,37.0,1,62.7906976744186,B
381,0,85,7,0,35.0,1,55.81395348837209,C
382,0,91,1,0,18.0,3,50.697674418604656,C
383,0,85,5,0,31.0,1,53.95348837209303,C
384,0,81,8,1,37.0,1,54.88372093023256,C
385,0,87,8,1,37.0,1,57.674418604651166,C
386,0,95,10,1,37.0,1,61.395348837209305,B
387,0,102,3,0,37.0,1,64.65116279069767,B
388,0,94,1,0,38.0,3,61.395348837209305,B
389,0,89,7,0,37.0,1,58.6046511627907,C
390,0,112,2,0,37.0,2,69.30232558139535,B
391,0,118,8,1,37.0,1,72.09302325581395,B
392,0,70,7,0,37.0,1,49.76744186046512,C
393,0,103,10,1,37.0,1,65.11627906976744,B
394,0,90,8,1,37.0,1,59.06976744186046,C
395,0,97,8,1,37.0,1,62.32558139534884,B
396,0,104,6,0,37.0,2,65.58139534883722,B
397,0,91,2,0,37.0,2,59.53488372093023,C
398,0,94,4,0,37.0,2,60.93023255813953,B
399,0,107,3,0,57.0,1,76.27906976744187,B
400,0,90,3,0,37.0,1,59.06976744186046,C
401,0,70,8,1,37.0,1,49.76744186046512,C
402,0,97,4,0,37.0,2,62.32558139534884,B
403,0,104,5,0,18.0,1,56.74418604651162,C
404,0,96,5,0,28.0,1,57.674418604651166,C
405,0,81,2,0,18.0,2,46.04651162790698,C
406,0,114,8,1,28.0,1,66.04651162790698,B
407,0,106,4,0,18.0,2,57.674418604651166,C
408,0,105,8,1,18.0,1,57.20930232558139,C
409,0,92,2,0,28.0,2,55.81395348837209,C
410,0,96,8,1,38.0,1,62.32558139534884,B
411,0,84,4,0,18.0,2,47.44186046511628,C
412,0,89,2,0,18.0,2,49.76744186046512,C
413,0,111,8,1,58.0,1,78.6046511627907,B
414,0,102,4,0,18.0,2,55.81395348837209,C
415,0,99,4,0,37.0,2,63.25581395348837,B
416,0,104,3,0,37.0,1,65.58139534883722,B
417,0,70,4,0,31.0,2,46.97674418604651,C
418,0,70,4,0,35.0,2,48.837209302325576,C
419,0,90,2,0,18.0,2,50.23255813953489,C
420,0,104,8,1,18.0,1,56.74418604651162,C
421,0,102,8,1,37.0,1,64.65116279069767,B
422,0,86,8,1,37.0,1,57.20930232558139,C
423,0,73,8,1,35.0,1,50.23255813953489,C
424,0,81,5,0,37.0,1,54.88372093023256,C
425,0,93,8,1,57.0,1,69.76744186046511,B
426,0,111,7,0,37.0,1,68.83720930232559,B
427,0,104,3,0,18.0,1,56.74418604651162,C
428,0,105,5,0,28.0,1,61.86046511627907,B
429,0,73,5,0,37.0,1,51.162790697674424,C
430,0,85,8,1,28.0,1,52.55813953488372,C
431,0,107,10,1,61.0,1,78.13953488372093,B
432,0,112,10,1,62.0,1,80.93023255813954,A
433,1,127,10,1,40.0,1,77.67441860465117,B
434,1,114,5,0,66.0,1,83.72093023255815,A
435,1,114,8,1,71.0,1,86.04651162790698,A
436,1,109,2,0,18.0,2,59.06976744186046,C
437,1,93,8,1,51.0,1,66.97674418604652,B
438,0,114,8,1,40.0,1,71.62790697674419,B
439,0,100,8,1,31.0,1,60.93023255813953,B
440,0,92,3,0,18.0,1,51.162790697674424,C
441,0,110,8,1,61.0,1,79.53488372093022,B
442,0,93,4,0,37.0,2,60.46511627906976,B
443,0,96,2,0,43.0,2,64.65116279069767,B
444,1,120,8,0,75.0,1,90.69767441860465,A
445,1,114,10,1,75.0,1,87.90697674418605,A
446,1,127,10,1,40.0,1,77.67441860465117,B
447,1,106,8,1,75.0,1,84.18604651162791,A
448,1,110,8,1,53.0,1,75.81395348837209,B
449,1,92,6,0,38.0,2,60.46511627906976,B
450,1,125,10,1,71.0,1,91.16279069767442,A
451,1,108,8,1,71.0,1,83.25581395348837,A
452,0,112,8,1,18.0,1,60.46511627906976,B
453,0,93,8,1,69.0,1,75.34883720930232,B
454,0,114,8,1,75.0,1,87.90697674418605,A
455,0,104,8,1,18.0,1,56.74418604651162,C
456,0,92,8,1,75.0,1,77.67441860465117,B
457,0,104,5,0,43.0,1,68.37209302325581,B
458,0,109,8,1,71.0,1,83.72093023255815,A
459,0,109,10,1,40.0,1,69.30232558139535,B
460,0,104,5,0,18.0,1,56.74418604651162,C
461,1,123,6,0,36.0,2,73.95348837209302,B
462,1,125,10,1,31.0,1,72.55813953488372,B
463,1,127,10,1,37.0,1,76.27906976744187,B
464,1,129,10,1,43.0,1,80.0,B
465,1,119,9,1,69.0,1,87.44186046511628,A
466,1,125,4,0,71.0,2,91.16279069767442,A
467,1,121,8,1,37.0,1,73.48837209302326,B
468,1,124,8,1,36.0,1,74.4186046511628,B
469,1,125,8,1,18.0,1,66.51162790697674,B
470,1,129,5,0,18.0,1,68.37209302325581,B
471,1,122,8,1,62.0,1,85.5813953488372,A
472,1,121,9,1,37.0,1,73.48837209302326,B
473,1,129,9,1,18.0,1,68.37209302325581,B
474,1,122,8,1,40.0,1,75.34883720930232,B
475,1,126,4,0,51.0,2,82.32558139534883,A
476,1,122,10,1,35.0,1,73.0232558139535,B
477,1,123,8,1,65.0,1,87.44186046511628,A
478,1,119,10,1,71.0,1,88.37209302325581,A
479,0,120,10,1,40.0,1,74.4186046511628,B
480,0,127,2,0,35.0,2,75.34883720930232,B
481,0,127,8,1,62.0,1,87.90697674418605,A
482,0,120,8,1,61.0,1,84.18604651162791,A
483,0,127,8,1,58.0,1,86.04651162790698,A
484,0,123,8,1,37.0,1,74.4186046511628,B
485,0,120,10,1,37.0,1,73.0232558139535,B
486,0,123,8,1,37.0,1,74.4186046511628,B
487,0,122,4,0,18.0,2,65.11627906976744,B
488,0,119,10,1,37.0,1,72.55813953488372,B
489,1,130,6,0,18.0,2,68.83720930232559,B
490,1,134,9,1,62.0,1,91.16279069767442,A
491,1,136,10,1,61.0,1,91.62790697674419,A
492,1,135,10,1,61.0,1,91.16279069767442,A
493,1,140,10,1,71.0,1,98.13953488372093,A
494,1,131,8,1,30.0,1,74.88372093023256,B
495,1,137,10,1,62.0,1,92.55813953488372,A
496,1,136,10,1,18.0,1,71.62790697674419,B
497,1,132,10,1,37.0,1,78.6046511627907,B
498,0,135,10,1,62.0,1,91.62790697674419,A
499,0,134,10,1,18.0,1,70.69767441860465,B
